SalesOrderNumber;OrderDate;ProductKey;ResellerKey;EmployeeKey;SalesTerritoryKey;Quantity;Unit Price;Sales;Cost
SO43897;25/08/2017;235;312;282;4;2;$28.84;$57.68;$63.45
SO43897;25/08/2017;351;312;282;4;2;$2,024.99;$4,049.98;$3,796.19
SO43897;25/08/2017;348;312;282;4;2;$2,024.99;$4,049.98;$3,796.19
SO43897;25/08/2017;232;312;282;4;2;$28.84;$57.68;$63.45
SO44544;18/11/2017;292;312;282;4;2;$818.7;$1,637.4;$1,413.62
SO44544;18/11/2017;220;312;282;4;2;$20.19;$40.38;$24.06
SO44544;18/11/2017;351;312;282;4;2;$2,024.99;$4,049.98;$3,796.19
SO44544;18/11/2017;349;312;282;4;2;$2,024.99;$4,049.98;$3,796.19
SO44544;18/11/2017;344;312;282;4;2;$2,039.99;$4,079.98;$3,824.31
SO45321;18/02/2018;346;312;282;4;2;$2,039.99;$4,079.98;$3,824.31
SO45321;18/02/2018;347;312;282;4;2;$2,039.99;$4,079.98;$3,824.31
SO46082;23/05/2018;220;312;282;4;2;$20.19;$40.38;$24.06
SO46082;23/05/2018;346;312;282;4;2;$2,039.99;$4,079.98;$3,824.31
SO46082;23/05/2018;345;312;282;4;2;$2,039.99;$4,079.98;$3,824.31
SO46082;23/05/2018;232;312;282;4;2;$28.84;$57.68;$63.45
SO46082;23/05/2018;344;312;282;4;2;$2,039.99;$4,079.98;$3,824.31
SO46082;23/05/2018;348;312;282;4;2;$2,024.99;$4,049.98;$3,796.19
SO46082;23/05/2018;212;312;282;4;2;$20.19;$40.38;$24.06
SO47028;24/08/2018;410;312;282;4;2;$36.45;$72.9;$53.94
SO47028;24/08/2018;464;312;282;4;2;$14.13;$28.26;$19.43
SO47028;24/08/2018;412;312;282;4;2;$180.13;$360.26;$266.59
SO47028;24/08/2018;420;312;282;4;2;$141.62;$283.24;$209.59
SO47028;24/08/2018;468;312;282;4;2;$22.79;$45.58;$31.34
SO47028;24/08/2018;360;312;282;4;2;$1,229.46;$2,458.92;$2,211.62
SO47028;24/08/2018;409;312;282;4;2;$209.26;$418.52;$371.64
SO47028;24/08/2018;308;312;282;4;2;$744.27;$1,488.54;$1,321.83
SO47028;24/08/2018;428;312;282;4;2;$209.26;$418.52;$371.64
SO48049;19/11/2018;401;312;282;4;2;$65.6;$131.2;$97.09
SO48049;19/11/2018;224;312;282;4;2;$5.19;$10.38;$10.46
SO48049;19/11/2018;412;312;282;4;2;$180.13;$360.26;$266.59
SO48049;19/11/2018;458;312;282;4;2;$44.99;$89.98;$61.87
SO48049;19/11/2018;411;312;282;4;2;$125.42;$250.84;$185.61
SO48049;19/11/2018;297;312;282;4;2;$736.15;$1,472.3;$1,307.39
SO48049;19/11/2018;409;312;282;4;2;$209.26;$418.52;$371.64
SO48049;19/11/2018;221;312;282;4;2;$20.19;$40.38;$27.76
SO48049;19/11/2018;427;312;282;4;2;$209.26;$418.52;$371.64
SO49132;20/02/2019;399;312;282;4;2;$33.77;$67.54;$49.99
SO49132;20/02/2019;358;312;282;4;2;$1,229.46;$2,458.92;$2,211.62
SO49132;20/02/2019;354;312;282;4;2;$1,242.85;$2,485.7;$2,235.71
SO49132;20/02/2019;420;312;282;4;2;$141.62;$283.24;$209.59
SO49132;20/02/2019;362;312;282;4;2;$1,229.46;$2,458.92;$2,211.62
SO49132;20/02/2019;421;312;282;4;2;$196.33;$392.66;$290.57
SO50294;25/05/2019;356;312;282;4;2;$1,242.85;$2,485.7;$2,235.71
